תיק כפול,תיק מקורי,כתובת,האם תוצאת התיקים ההמוזגים זהה? (כן- זהה. לא - לא זהה),"בג""ץ?",תיקים נוספים שאוחדו ונדחו,תיקים נוספים שאוחדו והתקבלו,*/# אם מדובר בריבוי תיקים
1336/2017,3980/2017,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\360\013\e08&fileName=17013360.E08&type=2,כן,כן,,,
922/2010,813/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\130\008\o02&fileName=10008130_o02.txt&type=2,כן,,,,
9136/2016,9135/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\350\091\t06&fileName=16091350_t06.txt&type=2,כן,כן,,,
4577/2015,5945/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\450\059\c15&fileName=14059450_c15.txt&type=2,כן,כן,,,
4644/2014,4683/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\830\046\t03&fileName=14046830_t03.txt&type=2,כן,,,,
1029/2012,6899/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\990\068\v16&fileName=12068990_v16.txt&type=2,כן,,,,
5420/2012,9223/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\230\092\m20&fileName=10092230_m20.txt&type=2,כן,כן,,,#
5256/2012,9223/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\230\092\m20&fileName=10092230_m20.txt&type=2,כן,כן,,,#
704/2016,195/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\950\001\a06&fileName=16001950_a06.txt&type=2,כן,,,,*
403/2016,195/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\950\001\a06&fileName=16001950_a06.txt&type=2,כן,,,,*
3328/2014,3357/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\280\033\e22&fileName=14033280.E22&type=2,כן,,,,
4283/2012,4277/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\770\042\w06&fileName=12042770_w06.txt&type=2,כן,,,,
4203/2013,4201/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\010\042\k06&fileName=13042010_k06.txt&type=2,כן,,,,*
4402/2013,4201/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\010\042\k06&fileName=13042010_k06.txt&type=2,כן,,,,*
1265/2011,9061/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\610\090\t04&fileName=11090610_t04.txt&type=2,כן,כן,,,
7466/2012,7079/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\790\070\o07&fileName=12070790_o07.txt&type=2,כן,,,,
2129/2012,2108/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\080\021\i01&fileName=12021080_i01.txt&type=2,כן,,,,
9030/2011,3020/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\200\030\h15&fileName=10030200_h15.txt&type=2,כן,,,,
391/2012,4535/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\350\045\c09&fileName=11045350_c09.txt&type=2,כן,כן,,,*
396/2012,4535/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\350\045\c09&fileName=11045350_c09.txt&type=2,כן,כן,,,*
4881/2013,4535/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\350\045\c09&fileName=11045350_c09.txt&type=2,כן,כן,,,*
