תיק כפול,תיק מקורי,מצב תיק מקורי בנמלה,כתובת,פסק דין?,בג"ץ?,דחיה על הסף?,פעולה שיש לבצע
1336/2017,3980/2017,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\360\013\e08&fileName=17013360.E08&type=2,כן,כן,,הוספה לנמלה
1073/2015,4195/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\730\010\e11&fileName=15010730.E11&type=2,,,,העתקת  קידוד מהתיק המקורי
922/2010,813/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\130\008\o02&fileName=10008130_o02.txt&type=2,כן,,,הוספה לנמלה
9136/2016,9135/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\350\091\t06&fileName=16091350_t06.txt&type=2,כן,כן,,הוספה לנמלה
4577/2015,5945/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\450\059\c15&fileName=14059450_c15.txt&type=2,כן,כן,,הוספה לנמלה
8737/2015,8627/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\970\080\e25&fileName=15080970.E25&type=2,,כן,,העתקת  קידוד מהתיק המקורי
4368/2016,8627/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\970\080\e25&fileName=15080970.E25&type=2,,כן,,העתקת  קידוד מהתיק המקורי
8097/2015,8627/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\970\080\e25&fileName=15080970.E25&type=2,,כן,,העתקת  קידוד מהתיק המקורי
4644/2014,4683/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\830\046\t03&fileName=14046830_t03.txt&type=2,כן,,,הוספה לנמלה
534/2011,9218/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\180\092\s11&fileName=10092180_s11.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
5668/2011,9218/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\180\092\s11&fileName=10092180_s11.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
3714/2011,9218/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\180\092\s11&fileName=10092180_s11.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
5785/2013,2965/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\650\029\o04&fileName=13029650_o04.txt&type=2,כן,,,הוספה לנמלה
